village,gram_panchayat,tehsil,district,member_list,cfr_boundary_description,cfr_map_attached,khasra_numbers,bordering_villages,frc_formed,gramsabha_meeting_frequency,major_nftps_collected,seasonal_income_forest_percent,forest_condition,fire_incidents_5yrs,water_availability_in_forest,water_supply_coverage,electricity_supply_coverage,road_access_condition
Jhabua Kheda,GP Ghughri,Ghughri,Umaria,Yes,Boundary segment 144,No,Khasra 325,Dindori Gaon,Yes,Quarterly,Lac,69.97,Degraded,Yes,Medium,None,None,Good
Bhilapur,GP Ghughri,Sendhwa,Dindori,Yes,Boundary segment 145,Yes,Khasra 338,Dindori Gaon,Yes,Rare,Mahua,27.97,Moderate,No,Medium,Full,Full,Poor
Jhabua Kheda,GP Ghughri,Jobat,Alirajpur,Yes,Boundary segment 146,Yes,Khasra 228,Alirajpur Falia,No,Monthly,Multiple,29.59,Moderate,Yes,Low,None,None,Moderate
Mandla Pur,GP Pati,Pali,Alirajpur,No,Boundary segment 147,No,Khasra 92,Jhabua Kheda,No,Quarterly,Lac,19.24,Good,Yes,High,None,Full,Moderate
Korku Pada,GP Bajag,Jobat,Alirajpur,No,Boundary segment 148,No,Khasra 5,Barwani Tola,No,Rare,Bamboo,14.3,Moderate,Yes,High,Partial,Full,Poor
Gondwadi,GP Jobat,Pali,Sheopur,Yes,Boundary segment 149,No,Khasra 446,Korku Pada,Yes,Quarterly,Lac,69.32,Degraded,Yes,Low,Full,None,Poor
Jhabua Kheda,GP Niwas,Bajag,Mandla,No,Boundary segment 150,Yes,Khasra 348,Gondwadi,No,Rare,Bamboo,23.74,Moderate,Yes,Low,None,Partial,Poor
Dindori Gaon,GP Pushparajgarh,Jobat,Mandla,Yes,Boundary segment 151,Yes,Khasra 368,Sheopur Pada,Yes,Quarterly,Bamboo,71.22,Degraded,No,Low,Partial,Partial,Good
Barwani Tola,GP Ghughri,Ghughri,Barwani,Yes,Boundary segment 152,Yes,Khasra 304,Bhilapur,No,Rare,Mahua,62.96,Degraded,Yes,High,Full,Partial,Moderate
Jhabua Kheda,GP Jobat,Niwas,Barwani,No,Boundary segment 153,No,Khasra 393,Korku Pada,No,Quarterly,Honey,63.83,Good,Yes,Low,None,Full,Moderate
Korku Pada,GP Pushparajgarh,Jobat,Jhabua,Yes,Boundary segment 154,No,Khasra 94,Gondwadi,Yes,Monthly,Bamboo,3.14,Good,No,Medium,Full,Partial,Poor
Mandla Pur,GP Niwas,Sendhwa,Umaria,No,Boundary segment 155,No,Khasra 257,Alirajpur Falia,No,Monthly,Tendu Leaves,24.72,Good,Yes,High,Full,None,Good
Dindori Gaon,GP Bajag,Niwas,Umaria,Yes,Boundary segment 156,No,Khasra 288,Alirajpur Falia,Yes,Monthly,Tendu Leaves,16.7,Moderate,No,High,None,Full,Poor
Gondwadi,GP Bajag,Pati,Umaria,Yes,Boundary segment 157,No,Khasra 9,Baiga Chak,Yes,Rare,Multiple,44.51,Degraded,Yes,Low,Full,None,Good
Gondwadi,GP Niwas,Pali,Anuppur,No,Boundary segment 158,No,Khasra 178,Gondwadi,Yes,Monthly,Lac,4.12,Moderate,No,Low,Full,Full,Moderate
Gondwadi,GP Niwas,Jobat,Umaria,Yes,Boundary segment 159,No,Khasra 146,Baiga Chak,Yes,Quarterly,Multiple,58.17,Good,Yes,Low,None,Partial,Good
Dindori Gaon,GP Pati,Ghughri,Sheopur,No,Boundary segment 160,Yes,Khasra 86,Bhilapur,Yes,Quarterly,Mahua,57.72,Degraded,Yes,High,Full,Full,Moderate
Mandla Pur,GP Niwas,Bajag,Umaria,No,Boundary segment 161,Yes,Khasra 304,Baiga Chak,Yes,Quarterly,Mahua,8.44,Moderate,No,Medium,Full,Full,Good
Bhilapur,GP Niwas,Bajag,Alirajpur,No,Boundary segment 162,Yes,Khasra 187,Alirajpur Falia,Yes,Monthly,Tendu Leaves,46.16,Good,Yes,Medium,None,Full,Poor
Baiga Chak,GP Niwas,Pati,Sheopur,Yes,Boundary segment 163,No,Khasra 398,Barwani Tola,Yes,Rare,Multiple,32.09,Degraded,No,Medium,None,Partial,Poor
Gondwadi,GP Bajag,Bajag,Jhabua,No,Boundary segment 164,Yes,Khasra 457,Korku Pada,No,Monthly,Honey,1.39,Degraded,No,Medium,Full,None,Poor
Dindori Gaon,GP Pushparajgarh,Pati,Alirajpur,Yes,Boundary segment 165,Yes,Khasra 343,Alirajpur Falia,No,Rare,Lac,64.92,Moderate,No,Low,None,Full,Poor
Bhilapur,GP Bajag,Jobat,Jhabua,No,Boundary segment 166,No,Khasra 366,Barwani Tola,Yes,Monthly,Lac,69.91,Degraded,Yes,Low,Partial,Full,Moderate
Mandla Pur,GP Pushparajgarh,Jobat,Alirajpur,No,Boundary segment 167,No,Khasra 492,Baiga Chak,Yes,Quarterly,Honey,12.61,Degraded,No,Medium,Partial,Partial,Poor
Bhilapur,GP Jobat,Ghughri,Dindori,Yes,Boundary segment 168,Yes,Khasra 127,Sheopur Pada,No,Quarterly,Tendu Leaves,22.79,Degraded,Yes,High,Partial,None,Good
Alirajpur Falia,GP Ghughri,Jobat,Jhabua,Yes,Boundary segment 169,Yes,Khasra 59,Bhilapur,No,Monthly,Bamboo,69.62,Degraded,Yes,Low,Full,Partial,Moderate
Bhilapur,GP Ghughri,Niwas,Sheopur,Yes,Boundary segment 170,Yes,Khasra 219,Mandla Pur,Yes,Rare,Mahua,41.68,Degraded,Yes,High,Partial,Partial,Poor
Sheopur Pada,GP Pati,Sendhwa,Umaria,No,Boundary segment 171,No,Khasra 287,Jhabua Kheda,No,Rare,Honey,53.21,Good,Yes,Medium,None,Partial,Moderate
Sheopur Pada,GP Ghughri,Pali,Barwani,Yes,Boundary segment 172,No,Khasra 445,Korku Pada,No,Monthly,Bamboo,41.61,Good,Yes,Medium,None,Full,Poor
Alirajpur Falia,GP Jobat,Bajag,Jhabua,Yes,Boundary segment 173,No,Khasra 275,Sheopur Pada,No,Quarterly,Tendu Leaves,0.57,Good,No,Low,Full,None,Poor
Sheopur Pada,GP Ghughri,Pali,Dindori,Yes,Boundary segment 174,No,Khasra 229,Sheopur Pada,Yes,Monthly,Multiple,14.38,Good,Yes,Low,None,Partial,Good
Dindori Gaon,GP Niwas,Niwas,Anuppur,Yes,Boundary segment 175,Yes,Khasra 21,Barwani Tola,No,Monthly,Tendu Leaves,56.93,Good,No,Low,Full,None,Good
Jhabua Kheda,GP Pushparajgarh,Sendhwa,Umaria,No,Boundary segment 176,No,Khasra 355,Mandla Pur,Yes,Monthly,Mahua,9.52,Moderate,No,Low,None,Partial,Poor
Baiga Chak,GP Niwas,Pati,Jhabua,No,Boundary segment 177,No,Khasra 347,Jhabua Kheda,No,Quarterly,Tendu Leaves,77.8,Degraded,Yes,Medium,None,Full,Good
Alirajpur Falia,GP Jobat,Sendhwa,Alirajpur,No,Boundary segment 178,No,Khasra 65,Barwani Tola,No,Quarterly,Tendu Leaves,76.84,Moderate,Yes,Low,None,Full,Good
Barwani Tola,GP Ghughri,Pati,Umaria,Yes,Boundary segment 179,Yes,Khasra 231,Alirajpur Falia,Yes,Rare,Tendu Leaves,18.27,Moderate,Yes,High,Partial,None,Good
Sheopur Pada,GP Bajag,Bajag,Mandla,Yes,Boundary segment 180,No,Khasra 72,Jhabua Kheda,Yes,Quarterly,Bamboo,78.04,Moderate,Yes,Medium,Full,Full,Poor
Jhabua Kheda,GP Pati,Jobat,Umaria,No,Boundary segment 181,Yes,Khasra 54,Mandla Pur,Yes,Quarterly,Mahua,27.47,Good,No,Medium,Full,None,Poor
Gondwadi,GP Ghughri,Bajag,Alirajpur,No,Boundary segment 182,No,Khasra 204,Dindori Gaon,Yes,Quarterly,Lac,65.24,Degraded,Yes,Low,Full,None,Moderate
Sheopur Pada,GP Jobat,Sendhwa,Mandla,Yes,Boundary segment 183,No,Khasra 441,Korku Pada,No,Quarterly,Multiple,73.12,Moderate,Yes,Low,Full,Partial,Good
Barwani Tola,GP Pati,Ghughri,Jhabua,No,Boundary segment 184,Yes,Khasra 324,Bhilapur,Yes,Monthly,Bamboo,57.33,Good,No,Low,None,None,Good
Jhabua Kheda,GP Ghughri,Sendhwa,Jhabua,Yes,Boundary segment 185,Yes,Khasra 387,Gondwadi,No,Monthly,Multiple,62.43,Moderate,Yes,Medium,Full,Full,Good
Sheopur Pada,GP Ghughri,Pali,Sheopur,Yes,Boundary segment 186,No,Khasra 339,Bhilapur,Yes,Monthly,Lac,16.62,Good,Yes,High,Partial,Full,Moderate
Dindori Gaon,GP Pushparajgarh,Sendhwa,Mandla,Yes,Boundary segment 187,No,Khasra 149,Barwani Tola,Yes,Quarterly,Lac,7.81,Degraded,No,Medium,None,Full,Good
Sheopur Pada,GP Jobat,Niwas,Sheopur,Yes,Boundary segment 188,Yes,Khasra 93,Mandla Pur,Yes,Quarterly,Mahua,30.4,Good,No,Medium,Full,Partial,Moderate
Gondwadi,GP Pati,Bajag,Umaria,Yes,Boundary segment 189,Yes,Khasra 129,Gondwadi,No,Monthly,Honey,22.38,Degraded,Yes,High,None,Full,Good
Mandla Pur,GP Pushparajgarh,Jobat,Dindori,No,Boundary segment 190,Yes,Khasra 169,Gondwadi,No,Monthly,Lac,52.45,Moderate,No,Low,Partial,Partial,Moderate
Jhabua Kheda,GP Niwas,Pati,Barwani,Yes,Boundary segment 191,No,Khasra 231,Dindori Gaon,Yes,Monthly,Honey,25.84,Degraded,Yes,Low,None,Full,Moderate
Dindori Gaon,GP Bajag,Jobat,Umaria,No,Boundary segment 192,No,Khasra 287,Sheopur Pada,Yes,Monthly,Tendu Leaves,10.05,Moderate,Yes,Low,Partial,Full,Poor
Gondwadi,GP Niwas,Sendhwa,Alirajpur,Yes,Boundary segment 193,No,Khasra 255,Barwani Tola,Yes,Monthly,Bamboo,69.49,Degraded,No,Medium,Partial,Full,Poor
Bhilapur,GP Pushparajgarh,Niwas,Umaria,Yes,Boundary segment 194,No,Khasra 244,Baiga Chak,Yes,Quarterly,Tendu Leaves,2.45,Moderate,Yes,High,Partial,Full,Moderate
Mandla Pur,GP Jobat,Bajag,Dindori,Yes,Boundary segment 195,No,Khasra 495,Alirajpur Falia,No,Monthly,Multiple,57,Moderate,Yes,High,None,None,Moderate
Gondwadi,GP Bajag,Pali,Jhabua,No,Boundary segment 196,Yes,Khasra 233,Mandla Pur,No,Monthly,Honey,68.39,Degraded,Yes,Medium,Full,None,Good
Baiga Chak,GP Ghughri,Pati,Barwani,Yes,Boundary segment 197,Yes,Khasra 363,Mandla Pur,Yes,Rare,Honey,30.82,Degraded,No,Medium,Full,None,Poor
Barwani Tola,GP Pati,Pati,Barwani,Yes,Boundary segment 198,No,Khasra 343,Jhabua Kheda,Yes,Rare,Honey,23.31,Degraded,Yes,Low,None,Partial,Good
Baiga Chak,GP Pushparajgarh,Niwas,Anuppur,No,Boundary segment 199,Yes,Khasra 426,Korku Pada,Yes,Quarterly,Mahua,32.31,Moderate,No,Medium,Partial,None,Good
Jhabua Kheda,GP Ghughri,Jobat,Umaria,No,Boundary segment 200,No,Khasra 269,Mandla Pur,No,Monthly,Lac,21.56,Moderate,Yes,High,Full,None,Moderate
Gondwadi,GP Niwas,Jobat,Alirajpur,Yes,Boundary segment 201,No,Khasra 14,Alirajpur Falia,Yes,Monthly,Tendu Leaves,65.03,Degraded,No,High,Partial,None,Good
Dindori Gaon,GP Pati,Pati,Sheopur,No,Boundary segment 202,No,Khasra 260,Gondwadi,No,Monthly,Multiple,49.52,Degraded,No,Low,Full,Partial,Poor
Sheopur Pada,GP Jobat,Jobat,Barwani,No,Boundary segment 203,Yes,Khasra 433,Gondwadi,Yes,Quarterly,Bamboo,7.5,Degraded,Yes,High,Partial,Partial,Poor
Jhabua Kheda,GP Jobat,Sendhwa,Mandla,No,Boundary segment 204,Yes,Khasra 16,Sheopur Pada,No,Rare,Mahua,65.01,Degraded,No,Low,Full,Full,Moderate
Barwani Tola,GP Jobat,Niwas,Sheopur,No,Boundary segment 205,Yes,Khasra 383,Sheopur Pada,No,Monthly,Lac,32.72,Moderate,Yes,Low,Full,Partial,Good
Bhilapur,GP Pushparajgarh,Niwas,Umaria,No,Boundary segment 206,No,Khasra 314,Sheopur Pada,No,Quarterly,Multiple,52.1,Degraded,No,Medium,None,Partial,Good
Jhabua Kheda,GP Jobat,Pali,Dindori,Yes,Boundary segment 207,Yes,Khasra 353,Mandla Pur,Yes,Monthly,Lac,27.98,Good,No,Medium,Partial,Partial,Good
Korku Pada,GP Pati,Ghughri,Dindori,Yes,Boundary segment 208,Yes,Khasra 102,Korku Pada,Yes,Quarterly,Mahua,28.69,Moderate,Yes,Low,Partial,Partial,Good
Alirajpur Falia,GP Niwas,Pati,Alirajpur,Yes,Boundary segment 209,Yes,Khasra 327,Mandla Pur,No,Rare,Honey,20.62,Good,Yes,Low,Partial,Full,Good
Jhabua Kheda,GP Niwas,Pati,Jhabua,No,Boundary segment 210,No,Khasra 91,Bhilapur,Yes,Monthly,Tendu Leaves,11.37,Moderate,Yes,Medium,Full,Partial,Poor
Alirajpur Falia,GP Pati,Ghughri,Mandla,No,Boundary segment 211,Yes,Khasra 239,Baiga Chak,Yes,Rare,Honey,0.99,Good,No,High,Partial,Full,Moderate
Gondwadi,GP Pati,Niwas,Umaria,Yes,Boundary segment 212,Yes,Khasra 38,Alirajpur Falia,Yes,Rare,Multiple,9.8,Moderate,No,High,Full,Full,Good
Jhabua Kheda,GP Pati,Jobat,Barwani,No,Boundary segment 213,Yes,Khasra 255,Sheopur Pada,Yes,Quarterly,Lac,21.03,Degraded,Yes,Low,Full,Partial,Poor
Baiga Chak,GP Jobat,Jobat,Alirajpur,Yes,Boundary segment 214,Yes,Khasra 355,Bhilapur,No,Rare,Mahua,34.97,Good,No,Low,None,Full,Moderate
Alirajpur Falia,GP Pati,Bajag,Umaria,No,Boundary segment 215,Yes,Khasra 259,Mandla Pur,No,Quarterly,Multiple,28.66,Moderate,No,Medium,Full,Partial,Moderate
Gondwadi,GP Pushparajgarh,Jobat,Alirajpur,No,Boundary segment 216,Yes,Khasra 290,Baiga Chak,Yes,Quarterly,Multiple,2.73,Good,Yes,High,Full,Full,Good
Mandla Pur,GP Niwas,Pati,Jhabua,Yes,Boundary segment 217,No,Khasra 13,Alirajpur Falia,No,Quarterly,Tendu Leaves,1.78,Moderate,No,High,None,Partial,Poor
Dindori Gaon,GP Niwas,Pati,Alirajpur,No,Boundary segment 218,Yes,Khasra 271,Mandla Pur,Yes,Monthly,Tendu Leaves,20.47,Good,Yes,Low,None,Partial,Poor
Korku Pada,GP Pati,Pali,Barwani,Yes,Boundary segment 219,No,Khasra 435,Dindori Gaon,Yes,Rare,Multiple,62.91,Moderate,No,Low,None,Partial,Poor
Baiga Chak,GP Jobat,Sendhwa,Umaria,No,Boundary segment 220,No,Khasra 139,Baiga Chak,Yes,Monthly,Multiple,29.87,Moderate,Yes,Low,None,None,Good
Jhabua Kheda,GP Bajag,Bajag,Alirajpur,Yes,Boundary segment 221,No,Khasra 236,Gondwadi,No,Rare,Bamboo,4.49,Degraded,Yes,High,Partial,Full,Moderate
Jhabua Kheda,GP Pushparajgarh,Bajag,Barwani,No,Boundary segment 222,Yes,Khasra 339,Gondwadi,No,Monthly,Honey,67.16,Good,No,Medium,Full,Full,Moderate
Jhabua Kheda,GP Niwas,Ghughri,Dindori,No,Boundary segment 223,No,Khasra 373,Alirajpur Falia,Yes,Rare,Lac,41.18,Good,No,Low,Full,None,Poor
Baiga Chak,GP Bajag,Pati,Umaria,No,Boundary segment 224,No,Khasra 109,Baiga Chak,Yes,Rare,Bamboo,20.92,Degraded,No,Low,None,Partial,Good
Sheopur Pada,GP Ghughri,Sendhwa,Mandla,Yes,Boundary segment 225,Yes,Khasra 378,Sheopur Pada,No,Quarterly,Lac,11.33,Moderate,No,High,Full,Partial,Moderate
Barwani Tola,GP Pati,Bajag,Anuppur,No,Boundary segment 226,Yes,Khasra 409,Alirajpur Falia,Yes,Monthly,Honey,67.89,Moderate,No,High,Full,None,Poor
Bhilapur,GP Pati,Jobat,Mandla,No,Boundary segment 227,No,Khasra 481,Barwani Tola,Yes,Quarterly,Honey,77.05,Degraded,No,Low,Partial,Full,Good
Alirajpur Falia,GP Jobat,Pati,Barwani,Yes,Boundary segment 228,Yes,Khasra 125,Baiga Chak,No,Quarterly,Mahua,37.76,Good,No,Low,Full,Full,Moderate
Barwani Tola,GP Ghughri,Ghughri,Sheopur,Yes,Boundary segment 229,No,Khasra 320,Dindori Gaon,No,Rare,Multiple,64.86,Moderate,Yes,Low,Full,Partial,Poor
Alirajpur Falia,GP Pati,Jobat,Jhabua,No,Boundary segment 230,No,Khasra 105,Dindori Gaon,Yes,Quarterly,Bamboo,10.59,Moderate,Yes,High,Full,Partial,Moderate
Mandla Pur,GP Bajag,Niwas,Anuppur,Yes,Boundary segment 231,No,Khasra 398,Jhabua Kheda,Yes,Quarterly,Mahua,33.36,Good,Yes,Low,Full,Full,Good
Mandla Pur,GP Jobat,Sendhwa,Umaria,No,Boundary segment 232,No,Khasra 74,Dindori Gaon,Yes,Monthly,Lac,17.56,Good,Yes,Medium,Full,Full,Poor
Gondwadi,GP Pushparajgarh,Ghughri,Anuppur,Yes,Boundary segment 233,Yes,Khasra 180,Jhabua Kheda,No,Rare,Honey,66.27,Degraded,Yes,Medium,Full,Partial,Moderate
Mandla Pur,GP Bajag,Pati,Mandla,No,Boundary segment 234,No,Khasra 17,Sheopur Pada,Yes,Monthly,Bamboo,45.32,Moderate,No,High,Full,Partial,Moderate
Alirajpur Falia,GP Jobat,Pati,Mandla,Yes,Boundary segment 235,No,Khasra 255,Jhabua Kheda,Yes,Rare,Lac,60.61,Degraded,No,Medium,None,Full,Moderate
Bhilapur,GP Ghughri,Jobat,Mandla,Yes,Boundary segment 236,No,Khasra 191,Alirajpur Falia,No,Monthly,Lac,65.93,Degraded,No,Low,Full,Partial,Poor
Sheopur Pada,GP Pati,Pali,Dindori,No,Boundary segment 237,Yes,Khasra 208,Mandla Pur,Yes,Quarterly,Lac,65.66,Degraded,Yes,High,Partial,Full,Moderate
Jhabua Kheda,GP Niwas,Niwas,Dindori,No,Boundary segment 238,Yes,Khasra 127,Jhabua Kheda,Yes,Quarterly,Multiple,22.49,Degraded,No,High,Full,Partial,Poor
Mandla Pur,GP Ghughri,Pali,Anuppur,Yes,Boundary segment 239,Yes,Khasra 37,Korku Pada,No,Quarterly,Bamboo,47.82,Moderate,No,Low,Partial,Partial,Poor
Dindori Gaon,GP Bajag,Pati,Jhabua,Yes,Boundary segment 240,No,Khasra 291,Gondwadi,Yes,Rare,Multiple,23.49,Moderate,Yes,Medium,Full,Partial,Good
Gondwadi,GP Jobat,Pali,Dindori,Yes,Boundary segment 241,Yes,Khasra 453,Gondwadi,Yes,Monthly,Bamboo,61.41,Degraded,Yes,Medium,Partial,None,Poor
Baiga Chak,GP Bajag,Pali,Barwani,Yes,Boundary segment 242,Yes,Khasra 95,Korku Pada,Yes,Monthly,Tendu Leaves,53.77,Degraded,Yes,High,Full,Partial,Good
Sheopur Pada,GP Niwas,Ghughri,Mandla,No,Boundary segment 243,No,Khasra 369,Barwani Tola,Yes,Quarterly,Bamboo,28.59,Good,Yes,Low,Partial,Full,Moderate
Jhabua Kheda,GP Bajag,Pali,Umaria,Yes,Boundary segment 244,Yes,Khasra 394,Bhilapur,No,Quarterly,Mahua,11.99,Good,Yes,High,None,Full,Poor
Jhabua Kheda,GP Niwas,Pati,Dindori,Yes,Boundary segment 245,Yes,Khasra 188,Gondwadi,Yes,Quarterly,Honey,2.14,Moderate,Yes,Medium,None,None,Moderate
Mandla Pur,GP Ghughri,Jobat,Alirajpur,Yes,Boundary segment 246,Yes,Khasra 311,Gondwadi,Yes,Monthly,Tendu Leaves,61.74,Degraded,No,Medium,None,None,Moderate
Gondwadi,GP Jobat,Niwas,Anuppur,Yes,Boundary segment 247,Yes,Khasra 189,Dindori Gaon,Yes,Quarterly,Honey,79.31,Good,Yes,Low,None,None,Good
Bhilapur,GP Pati,Pati,Mandla,Yes,Boundary segment 248,Yes,Khasra 143,Jhabua Kheda,No,Quarterly,Bamboo,34.46,Moderate,No,Medium,Full,Partial,Moderate
Mandla Pur,GP Pushparajgarh,Bajag,Sheopur,Yes,Boundary segment 249,No,Khasra 55,Dindori Gaon,No,Monthly,Lac,64.82,Degraded,Yes,Medium,None,Partial,Poor
Bhilapur,GP Bajag,Ghughri,Umaria,Yes,Boundary segment 250,Yes,Khasra 127,Korku Pada,Yes,Quarterly,Tendu Leaves,47.75,Degraded,No,High,Partial,None,Moderate
Barwani Tola,GP Pushparajgarh,Pali,Anuppur,No,Boundary segment 251,No,Khasra 367,Korku Pada,No,Quarterly,Tendu Leaves,29.71,Good,No,Low,Partial,None,Moderate
Baiga Chak,GP Jobat,Ghughri,Mandla,No,Boundary segment 252,Yes,Khasra 230,Dindori Gaon,No,Rare,Lac,68.15,Degraded,Yes,High,Full,None,Moderate
Mandla Pur,GP Niwas,Jobat,Barwani,No,Boundary segment 253,No,Khasra 132,Korku Pada,Yes,Monthly,Lac,7.24,Good,No,Low,Full,Partial,Moderate
Baiga Chak,GP Pushparajgarh,Ghughri,Jhabua,No,Boundary segment 254,Yes,Khasra 101,Alirajpur Falia,No,Quarterly,Bamboo,17.61,Good,Yes,High,Partial,None,Poor
Bhilapur,GP Jobat,Pati,Barwani,Yes,Boundary segment 255,Yes,Khasra 75,Gondwadi,Yes,Quarterly,Multiple,33.32,Good,No,High,None,Full,Poor
Mandla Pur,GP Pushparajgarh,Bajag,Sheopur,No,Boundary segment 256,No,Khasra 322,Baiga Chak,Yes,Monthly,Bamboo,3.17,Degraded,No,Low,Partial,None,Good
Alirajpur Falia,GP Ghughri,Jobat,Umaria,Yes,Boundary segment 257,No,Khasra 395,Dindori Gaon,No,Rare,Bamboo,3.51,Degraded,No,Low,None,None,Good
Sheopur Pada,GP Ghughri,Ghughri,Sheopur,No,Boundary segment 258,No,Khasra 219,Jhabua Kheda,Yes,Monthly,Tendu Leaves,17.04,Degraded,No,High,None,None,Good
Barwani Tola,GP Niwas,Bajag,Barwani,No,Boundary segment 259,No,Khasra 29,Dindori Gaon,Yes,Quarterly,Mahua,46.31,Degraded,Yes,High,Partial,Partial,Good
Gondwadi,GP Pushparajgarh,Sendhwa,Sheopur,No,Boundary segment 260,Yes,Khasra 428,Sheopur Pada,Yes,Rare,Tendu Leaves,74.68,Moderate,Yes,Low,Partial,None,Good
Baiga Chak,GP Pushparajgarh,Ghughri,Jhabua,No,Boundary segment 261,Yes,Khasra 69,Alirajpur Falia,No,Rare,Lac,68.02,Degraded,No,Medium,Partial,Partial,Poor
Jhabua Kheda,GP Jobat,Pati,Anuppur,No,Boundary segment 262,Yes,Khasra 8,Barwani Tola,Yes,Monthly,Lac,19.56,Moderate,Yes,Medium,Partial,Full,Poor
Mandla Pur,GP Ghughri,Pati,Anuppur,Yes,Boundary segment 263,Yes,Khasra 412,Mandla Pur,Yes,Monthly,Tendu Leaves,22.97,Moderate,Yes,Medium,Full,Full,Poor
Sheopur Pada,GP Niwas,Bajag,Dindori,No,Boundary segment 264,Yes,Khasra 93,Alirajpur Falia,Yes,Quarterly,Tendu Leaves,40.79,Good,Yes,High,Partial,Full,Poor
Jhabua Kheda,GP Ghughri,Bajag,Umaria,No,Boundary segment 265,No,Khasra 334,Korku Pada,No,Rare,Tendu Leaves,75.7,Moderate,No,High,Partial,None,Moderate
Dindori Gaon,GP Niwas,Ghughri,Dindori,No,Boundary segment 266,Yes,Khasra 321,Gondwadi,Yes,Monthly,Multiple,33.72,Degraded,No,High,None,Full,Poor
Korku Pada,GP Pushparajgarh,Niwas,Mandla,No,Boundary segment 267,No,Khasra 210,Korku Pada,No,Rare,Multiple,65.65,Moderate,Yes,Low,Partial,Partial,Good
Dindori Gaon,GP Pati,Sendhwa,Jhabua,Yes,Boundary segment 268,No,Khasra 382,Baiga Chak,No,Rare,Mahua,52.53,Good,No,High,Partial,None,Poor
Bhilapur,GP Jobat,Pali,Barwani,Yes,Boundary segment 269,No,Khasra 106,Bhilapur,No,Quarterly,Tendu Leaves,10.75,Good,No,High,Full,Partial,Moderate
Barwani Tola,GP Bajag,Ghughri,Alirajpur,No,Boundary segment 270,No,Khasra 398,Korku Pada,Yes,Monthly,Tendu Leaves,1.51,Moderate,No,Medium,None,None,Poor
Sheopur Pada,GP Ghughri,Bajag,Alirajpur,No,Boundary segment 271,No,Khasra 355,Mandla Pur,Yes,Monthly,Multiple,7.48,Moderate,Yes,Low,None,Partial,Poor
Gondwadi,GP Pushparajgarh,Niwas,Umaria,No,Boundary segment 272,No,Khasra 122,Baiga Chak,Yes,Monthly,Multiple,47.96,Moderate,No,Medium,Full,Full,Poor
Dindori Gaon,GP Bajag,Bajag,Sheopur,No,Boundary segment 273,No,Khasra 342,Barwani Tola,Yes,Monthly,Bamboo,47.03,Moderate,Yes,Low,Partial,Partial,Poor
Korku Pada,GP Pati,Niwas,Jhabua,Yes,Boundary segment 274,Yes,Khasra 363,Baiga Chak,No,Rare,Honey,3.53,Degraded,No,Medium,None,None,Good
Gondwadi,GP Pati,Niwas,Mandla,No,Boundary segment 275,Yes,Khasra 4,Korku Pada,Yes,Rare,Honey,63.61,Good,Yes,Low,Partial,None,Good
Korku Pada,GP Niwas,Pati,Jhabua,Yes,Boundary segment 276,No,Khasra 14,Dindori Gaon,No,Rare,Tendu Leaves,6.9,Moderate,Yes,Low,None,None,Moderate
Baiga Chak,GP Jobat,Pati,Barwani,No,Boundary segment 277,No,Khasra 297,Sheopur Pada,Yes,Rare,Lac,39.43,Good,Yes,High,Full,Partial,Poor
Korku Pada,GP Pushparajgarh,Ghughri,Umaria,No,Boundary segment 278,Yes,Khasra 311,Sheopur Pada,No,Rare,Bamboo,18.19,Degraded,No,Medium,Partial,Full,Good
Mandla Pur,GP Ghughri,Bajag,Umaria,Yes,Boundary segment 279,Yes,Khasra 118,Baiga Chak,No,Quarterly,Multiple,68.82,Good,Yes,Low,Partial,Partial,Moderate
Bhilapur,GP Ghughri,Ghughri,Alirajpur,No,Boundary segment 280,Yes,Khasra 360,Gondwadi,No,Rare,Tendu Leaves,69.16,Degraded,No,High,Partial,None,Poor
Sheopur Pada,GP Jobat,Pati,Anuppur,No,Boundary segment 281,No,Khasra 392,Bhilapur,No,Quarterly,Honey,22.57,Degraded,Yes,High,Full,Partial,Good
Baiga Chak,GP Bajag,Niwas,Anuppur,Yes,Boundary segment 282,Yes,Khasra 86,Baiga Chak,Yes,Quarterly,Honey,56.41,Moderate,Yes,Low,Partial,None,Good
Gondwadi,GP Jobat,Niwas,Sheopur,Yes,Boundary segment 283,Yes,Khasra 184,Korku Pada,No,Rare,Multiple,22.77,Good,Yes,Low,Full,Partial,Moderate
Gondwadi,GP Pati,Jobat,Sheopur,Yes,Boundary segment 284,Yes,Khasra 314,Alirajpur Falia,No,Quarterly,Tendu Leaves,63.7,Degraded,No,Medium,Partial,None,Moderate
Alirajpur Falia,GP Bajag,Jobat,Sheopur,Yes,Boundary segment 285,No,Khasra 233,Dindori Gaon,Yes,Rare,Tendu Leaves,60.47,Degraded,No,High,None,None,Poor
Bhilapur,GP Pati,Pati,Anuppur,No,Boundary segment 286,Yes,Khasra 1,Baiga Chak,No,Rare,Tendu Leaves,18.17,Moderate,Yes,Low,None,Full,Moderate
Gondwadi,GP Pati,Sendhwa,Mandla,No,Boundary segment 287,Yes,Khasra 337,Alirajpur Falia,Yes,Monthly,Lac,44.02,Good,No,Medium,None,None,Good
Baiga Chak,GP Ghughri,Sendhwa,Umaria,Yes,Boundary segment 288,No,Khasra 386,Alirajpur Falia,Yes,Quarterly,Honey,57.46,Degraded,No,Low,None,Partial,Good
